execucao_id,cenario,familia_intencionada,classe,ids,n_alertas,n_corretos,n_errados,familias_detectadas,rotulo,familia_prevista
campanha02-sql-injection-malicioso-r01,sql-injection,sqli,malicioso,suricata,1309,2,1307,dos-http;sqli;xss,TP,sqli
campanha02-sql-injection-malicioso-r01,sql-injection,sqli,malicioso,snort,2,0,2,xss,ERRO_CLASSIF,xss
campanha02-sql-injection-malicioso-r01,sql-injection,sqli,malicioso,zeek,5,2,3,sqli;xss,TP,sqli
campanha02-sql-injection-malicioso-r15,sql-injection,sqli,malicioso,suricata,1356,2,1354,dos-http;sqli;xss,TP,sqli
campanha02-sql-injection-malicioso-r15,sql-injection,sqli,malicioso,snort,2,0,2,xss,ERRO_CLASSIF,xss
campanha02-sql-injection-malicioso-r15,sql-injection,sqli,malicioso,zeek,5,2,3,sqli;xss,TP,sqli
campanha02-benigno-http-benigno-r06,benigno-http,http,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-http-benigno-r06,benigno-http,http,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-http-benigno-r06,benigno-http,http,benigno,zeek,0,0,0,-,TN,-
campanha02-xss-scanner-malicioso-r02,xss-scanner,xss,malicioso,suricata,531,2,320,dos-http;flood-syn;nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r02,xss-scanner,xss,malicioso,snort,506,2,231,dos-http;flood-syn;nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r02,xss-scanner,xss,malicioso,zeek,277,2,0,nao-mapeado;xss,TP,xss
campanha02-sql-injection-malicioso-r12,sql-injection,sqli,malicioso,suricata,1364,2,1362,dos-http;sqli;xss,TP,sqli
campanha02-sql-injection-malicioso-r12,sql-injection,sqli,malicioso,snort,2,0,2,xss,ERRO_CLASSIF,xss
campanha02-sql-injection-malicioso-r12,sql-injection,sqli,malicioso,zeek,6,2,3,nao-mapeado;sqli;xss,TP,sqli
campanha02-icmp-flood-malicioso-r05,icmp-flood,flood-icmp,malicioso,suricata,20921,4,20917,flood-icmp;scan,TP,flood-icmp
campanha02-icmp-flood-malicioso-r05,icmp-flood,flood-icmp,malicioso,snort,15560,7770,7790,flood-icmp;scan,TP,flood-icmp
campanha02-icmp-flood-malicioso-r05,icmp-flood,flood-icmp,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
campanha02-dos-http-simple-malicioso-r15,dos-http-simple,dos-http,malicioso,suricata,3,0,3,flood-syn,ERRO_CLASSIF,flood-syn
campanha02-dos-http-simple-malicioso-r15,dos-http-simple,dos-http,malicioso,snort,0,0,0,-,FN_PURO,NENHUM
campanha02-dos-http-simple-malicioso-r15,dos-http-simple,dos-http,malicioso,zeek,1,0,1,flood-icmp,ERRO_CLASSIF,flood-icmp
campanha02-xss-scanner-malicioso-r06,xss-scanner,xss,malicioso,suricata,576,2,329,dos-http;flood-syn;nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r06,xss-scanner,xss,malicioso,snort,493,2,218,dos-http;flood-syn;nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r06,xss-scanner,xss,malicioso,zeek,277,2,0,nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r15,xss-scanner,xss,malicioso,suricata,526,2,311,dos-http;flood-syn;nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r15,xss-scanner,xss,malicioso,snort,516,2,241,dos-http;flood-syn;nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r15,xss-scanner,xss,malicioso,zeek,277,2,0,nao-mapeado;xss,TP,xss
campanha02-idor-path-traversal-malicioso-r10,idor-path-traversal,path-traversal,malicioso,suricata,1012,0,792,dos-http;flood-syn;nao-mapeado,ERRO_CLASSIF,dos-http
campanha02-idor-path-traversal-malicioso-r10,idor-path-traversal,path-traversal,malicioso,snort,1235,0,1235,dos-http;flood-syn,ERRO_CLASSIF,dos-http
campanha02-idor-path-traversal-malicioso-r10,idor-path-traversal,path-traversal,malicioso,zeek,1069,598,0,nao-mapeado;path-traversal,TP,path-traversal
campanha02-icmp-flood-malicioso-r12,icmp-flood,flood-icmp,malicioso,suricata,22134,4,22130,flood-icmp;scan,TP,flood-icmp
campanha02-icmp-flood-malicioso-r12,icmp-flood,flood-icmp,malicioso,snort,14600,7290,7310,flood-icmp;scan,TP,flood-icmp
campanha02-icmp-flood-malicioso-r12,icmp-flood,flood-icmp,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
campanha02-benigno-scan-benigno-r04,benigno-scan,scan,benigno,suricata,0,0,0,-,TN,-
